date,norad,alt
2026-07-02,44714,418.0
2026-07-03,44714,418.0
2026-07-02,44718,416.9
2026-07-03,44718,416.7
2026-07-02,44725,400.4
2026-07-03,44725,400.3
2026-07-02,44741,350.2
2026-07-03,44741,349.8
2026-07-02,44747,408.4
2026-07-03,44747,408.3
2026-07-02,44748,382.2
2026-07-03,44748,381.5
2026-07-02,44751,400.1
2026-07-03,44751,399.6
2026-07-02,44753,366.3
2026-07-03,44753,366.1
2026-07-02,44768,417.9
2026-07-03,44768,417.7
2026-07-02,44771,333.5
2026-07-03,44771,333.5
2026-07-02,44772,339.3
2026-07-03,44772,339.4
2026-07-02,44927,359.9
2026-07-03,44927,359.8
2026-07-02,44930,389.5
2026-07-03,44930,389.2
2026-07-02,44941,402.4
2026-07-03,44941,402.2
2026-07-02,44949,401.7
2026-07-03,44949,401.7
2026-07-02,44961,365.7
2026-07-03,44961,365.6
2026-07-02,44968,413.7
2026-07-03,44968,413.5
2026-07-02,45044,397.6
2026-07-03,45044,397.4
2026-07-02,45047,407.8
2026-07-03,45047,407.5
2026-07-02,45048,388.8
2026-07-03,45048,388.8
2026-07-02,45060,372.0
2026-07-03,45060,372.0
2026-07-02,45061,451.0
2026-07-03,45061,451.0
2026-07-02,45062,342.9
2026-07-03,45062,342.7
2026-07-02,45071,457.1
2026-07-03,45071,453.9
2026-07-02,45072,460.4
2026-07-03,45072,460.2
2026-07-02,45074,451.1
2026-07-03,45074,451.1
2026-07-02,45080,454.0
2026-07-03,45080,453.9
2026-07-02,45081,293.9
2026-07-03,45081,293.2
2026-07-02,45087,427.6
2026-07-03,45087,427.3
2026-07-02,45096,418.4
2026-07-03,45096,418.1
2026-07-02,45100,364.7
2026-07-03,45100,364.7
2026-07-02,45179,279.3
2026-07-03,45179,279.3
2026-07-02,45190,329.2
2026-07-03,45190,328.8
2026-07-02,45198,378.5
2026-07-03,45198,378.3
2026-07-02,45206,357.1
2026-07-03,45206,356.9
2026-07-02,45222,449.0
2026-07-03,45222,448.8
2026-07-02,45223,360.6
2026-07-03,45223,360.4
2026-07-02,45227,435.1
2026-07-03,45227,434.9
2026-07-02,45228,403.8
2026-07-03,45228,403.8
2026-07-02,45229,433.4
2026-07-03,45229,433.2
2026-07-02,45230,433.1
2026-07-03,45230,432.9
2026-07-02,45237,363.4
2026-07-03,45237,363.4
2026-07-02,45360,326.3
2026-07-03,45360,325.9
2026-07-02,45361,321.8
2026-07-03,45361,321.1
2026-07-02,45367,393.0
2026-07-03,45367,392.7
2026-07-02,45369,367.2
2026-07-03,45369,367.2
2026-07-02,45375,366.5
2026-07-03,45375,366.2
2026-07-02,45376,378.6
2026-07-03,45376,378.1
2026-07-02,45377,352.7
2026-07-03,45377,352.2
2026-07-02,45379,331.6
2026-07-03,45379,331.4
2026-07-02,45383,371.3
2026-07-03,45383,371.2
2026-07-02,45384,359.0
2026-07-03,45384,358.7
2026-07-02,45386,345.9
2026-07-03,45386,345.4
2026-07-02,45387,376.4
2026-07-03,45387,375.5
2026-07-02,45388,313.4
2026-07-03,45388,313.2
2026-07-02,45389,352.7
2026-07-03,45389,352.6
2026-07-02,45390,358.0
2026-07-03,45390,357.5
2026-07-02,45395,349.4
2026-07-03,45395,349.3
2026-07-02,45397,399.7
2026-07-03,45397,399.5
2026-07-02,45399,371.7
2026-07-03,45399,371.4
2026-07-02,45404,452.6
2026-07-03,45404,452.3
2026-07-02,45406,451.3
2026-07-03,45406,451.1
2026-07-02,45408,346.9
2026-07-03,45408,346.5
2026-07-02,45412,450.7
2026-07-03,45412,450.6
2026-07-02,45414,351.0
2026-07-03,45414,350.5
2026-07-02,45415,449.8
2026-07-03,45415,449.6
2026-07-02,45417,375.5
2026-07-03,45417,374.7
2026-07-02,45419,371.2
2026-07-03,45419,371.0
2026-07-02,45531,347.0
2026-07-03,45531,346.8
2026-07-02,45532,355.6
2026-07-03,45532,355.3
2026-07-02,45535,455.3
2026-07-03,45535,455.2
2026-07-02,45538,454.7
2026-07-03,45538,454.4
2026-07-02,45540,453.9
2026-07-03,45540,453.6
2026-07-02,45542,363.5
2026-07-03,45542,363.5
2026-07-02,45543,452.7
2026-07-03,45543,452.1
2026-07-02,45544,358.6
2026-07-03,45544,358.4
2026-07-02,45555,353.7
2026-07-03,45555,353.6
2026-07-02,45564,373.7
2026-07-03,45564,373.7
2026-07-02,45565,359.4
2026-07-03,45565,359.4
2026-07-02,45567,363.5
2026-07-03,45567,363.4
2026-07-02,45570,451.5
2026-07-03,45570,451.3
2026-07-02,45572,293.4
2026-07-03,45572,292.9
2026-07-02,45573,362.3
2026-07-03,45573,362.2
2026-07-02,45578,362.9
2026-07-03,45578,362.7
2026-07-02,45581,455.3
2026-07-03,45581,455.0
2026-07-02,45582,342.6
2026-07-03,45582,342.4
2026-07-02,45586,362.5
2026-07-03,45586,362.5
2026-07-02,45589,360.1
2026-07-03,45589,360.0
2026-07-02,45590,373.5
2026-07-03,45590,373.2
2026-07-02,45663,426.5
2026-07-03,45663,426.5
2026-07-02,45665,350.2
2026-07-03,45665,350.0
2026-07-02,45669,385.3
2026-07-03,45669,385.2
2026-07-02,45670,348.5
2026-07-03,45670,348.4
2026-07-02,45671,354.4
2026-07-03,45671,354.4
2026-07-02,45673,363.9
2026-07-03,45673,363.9
2026-07-02,45675,390.0
2026-07-03,45675,389.8
2026-07-02,45677,451.0
2026-07-03,45677,450.5
2026-07-02,45679,367.9
2026-07-03,45679,367.8
2026-07-02,45685,383.0
2026-07-03,45685,381.4
2026-07-02,45686,433.3
2026-07-03,45686,433.2
2026-07-02,45695,356.7
2026-07-03,45695,356.5
2026-07-02,45696,456.2
2026-07-03,45696,456.1
2026-07-02,45697,369.6
2026-07-03,45697,369.4
2026-07-02,45700,357.0
2026-07-03,45700,356.8
2026-07-02,45703,342.6
2026-07-03,45703,342.2
2026-07-02,45710,360.5
2026-07-03,45710,360.5
2026-07-02,45711,345.7
2026-07-03,45711,345.5
2026-07-02,45731,363.4
2026-07-03,45731,363.4
2026-07-02,45735,409.8
2026-07-03,45735,409.8
2026-07-02,45741,372.5
2026-07-03,45741,372.2
2026-07-02,45744,452.1
2026-07-03,45744,451.9
2026-07-02,45746,392.5
2026-07-03,45746,392.4
2026-07-02,45751,407.9
2026-07-03,45751,407.8
2026-07-02,45755,356.6
2026-07-03,45755,355.9
2026-07-02,45759,372.9
2026-07-03,45759,372.7
2026-07-02,45764,375.0
2026-07-03,45764,374.9
2026-07-02,45773,453.4
2026-07-03,45773,453.1
2026-07-02,45780,361.2
2026-07-03,45780,360.8
2026-07-02,46052,292.6
2026-07-03,46052,291.9
2026-07-02,46077,451.2
2026-07-03,46077,451.1
2026-07-02,46080,405.3
2026-07-03,46080,405.2
2026-07-02,46128,288.2
2026-07-03,46128,287.2
2026-07-02,46129,332.7
2026-07-03,46129,332.2
2026-07-02,46141,382.3
2026-07-03,46141,382.3
2026-07-02,46142,334.8
2026-07-03,46142,334.4
2026-07-02,46146,458.1
2026-07-03,46146,458.1
2026-07-02,46155,216.4
2026-07-03,46155,210.7
2026-07-02,46156,275.4
2026-07-03,46156,273.5
2026-07-02,46159,342.7
2026-07-03,46159,342.1
2026-07-02,46160,345.7
2026-07-03,46160,345.2
2026-07-02,46167,332.5
2026-07-03,46167,332.2
2026-07-02,46171,298.7
2026-07-03,46171,298.0
2026-07-02,46172,248.7
2026-07-03,46172,245.3
2026-07-02,46173,341.9
2026-07-03,46173,341.6
2026-07-02,46174,376.1
2026-07-03,46174,375.6
2026-07-02,46329,332.9
2026-07-03,46329,332.5
2026-07-02,46331,307.1
2026-07-03,46331,306.4
2026-07-02,46340,289.2
2026-07-03,46340,288.2
2026-07-02,46342,451.9
2026-07-03,46342,451.8
2026-07-02,46347,258.1
2026-07-03,46347,253.4
2026-07-02,46348,445.2
2026-07-03,46348,445.2
2026-07-02,46351,321.6
2026-07-03,46351,321.1
2026-07-02,46352,325.6
2026-07-03,46352,325.2
2026-07-02,46353,351.0
2026-07-03,46353,350.7
2026-07-02,46355,451.1
2026-07-03,46355,451.1
2026-07-02,46357,306.8
2026-07-03,46357,306.1
2026-07-02,46359,263.2
2026-07-03,46359,260.2
2026-07-02,46375,351.4
2026-07-03,46375,350.8
2026-07-02,46383,330.3
2026-07-03,46383,329.8
2026-07-02,46384,381.7
2026-07-03,46384,381.7
2026-07-02,46535,179.5
2026-07-02,46537,365.0
2026-07-03,46537,363.5
2026-07-02,46538,276.1
2026-07-03,46538,273.9
2026-07-02,46553,413.5
2026-07-03,46553,413.4
2026-07-02,46556,340.1
2026-07-03,46556,339.7
2026-07-02,46557,288.9
2026-07-03,46557,287.9
2026-07-02,46562,343.7
2026-07-03,46562,343.5
2026-07-02,46563,377.1
2026-07-03,46563,376.8
2026-07-02,46565,255.2
2026-07-03,46565,253.8
2026-07-02,46567,212.6
2026-07-03,46567,204.5
2026-07-02,46572,246.8
2026-07-03,46572,244.4
2026-07-02,46582,331.1
2026-07-03,46582,330.7
2026-07-02,46674,332.1
2026-07-03,46674,331.6
2026-07-02,46685,341.8
2026-07-03,46685,341.2
2026-07-02,46687,276.5
2026-07-03,46687,273.3
2026-07-02,46689,285.9
