name,norad,reentry,amber,red,lead_v1,lead_v2,gain
STARLINK-1474,45738,2026-02-23,2025-07-01,2026-02-17,6,237,231
STARLINK-3269,50194,2026-03-05,2025-07-01,2026-02-27,6,247,241
STARLINK-1979,47577,2026-02-02,2025-09-06,2026-01-26,7,149,142
STARLINK-1107,44972,2025-12-13,2025-07-01,2025-12-06,7,165,158
STARLINK-2595,48407,2025-12-31,2025-07-01,2025-12-22,9,183,174
STARLINK-1142,45093,2025-12-26,2025-07-01,2025-12-16,10,178,168
STARLINK-35238,65841,2026-01-29,,2026-01-15,14,14,0
STARLINK-33851,63683,2026-04-30,2026-04-26,2026-04-09,21,21,0
STARLINK-31655,59257,2026-02-07,2025-10-25,2026-01-01,37,105,68
STARLINK-30232,57303,2026-03-07,2025-07-01,2026-01-25,41,249,208
STARLINK-32335,61703,2026-05-23,2026-01-26,2026-04-04,49,117,68
STARLINK-34110,63811,2026-06-02,2025-12-17,2026-04-07,56,167,111
STARLINK-3870,52451,2026-05-26,2026-04-04,2026-03-21,66,66,0
STARLINK-2511,48332,2026-01-12,2025-11-10,2025-10-26,78,78,0
STARLINK-6256,56401,2026-04-13,2025-11-13,2025-11-07,157,157,0
STARLINK-1648,46533,2026-03-30,2025-11-05,2025-10-23,158,158,0
STARLINK-1740,46566,2026-01-29,2025-08-30,2025-08-15,167,167,0
STARLINK-1911,46749,2026-05-24,2025-11-14,2025-10-31,205,205,0
STARLINK-1621,46127,2026-04-29,2025-10-08,2025-09-24,217,217,0
STARLINK-1993,47588,2026-06-04,2025-11-12,2025-10-29,218,218,0
STARLINK-1964,47565,2026-06-29,2025-11-13,2025-10-29,243,243,0
