name,norad,alarm,reentry,lead_days,lead_vs_500km,lead_vs_plunge
STARLINK-1107,44972,2025-12-06,2025-12-13,7,-188,-63
STARLINK-1142,45093,2025-12-16,2025-12-26,10,-198,-50
STARLINK-2595,48407,2025-12-22,2025-12-31,9,-204,-38
STARLINK-2511,48332,2025-10-26,2026-01-12,78,1,-4
STARLINK-35238,65841,2026-01-15,2026-01-29,14,-99,-3
STARLINK-1740,46566,2025-08-15,2026-01-29,167,0,-5
STARLINK-1979,47577,2026-01-26,2026-02-02,7,-143,-160
STARLINK-31655,59257,2026-01-01,2026-02-07,37,-214,-47
STARLINK-1474,45738,2026-02-17,2026-02-23,6,-261,-43
STARLINK-3269,50194,2026-02-27,2026-03-05,6,-271,-261
STARLINK-30232,57303,2026-01-25,2026-03-07,41,-118,-71
STARLINK-1648,46533,2025-10-23,2026-03-30,158,0,-6
STARLINK-6256,56401,2025-11-07,2026-04-13,157,5,-4
STARLINK-1621,46127,2025-09-24,2026-04-29,217,2,-5
STARLINK-33851,63683,2026-04-09,2026-04-30,21,-312,-4
STARLINK-32335,61703,2026-04-04,2026-05-23,49,-307,-70
STARLINK-1911,46749,2025-10-31,2026-05-24,205,0,-5
STARLINK-3870,52451,2026-03-21,2026-05-26,66,-1,-5
STARLINK-34110,63811,2026-04-07,2026-06-02,56,-310,-38
STARLINK-1993,47588,2025-10-29,2026-06-04,218,2,-5
STARLINK-1964,47565,2025-10-29,2026-06-29,243,1,-6
